radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,size,flag,x,y,cloud_id,status
LTE,216.0,30.0,12002.0,96002.0,0.0,19.12467,47.465172,134530.0,1664.0,1.0,1416502601.0,1523083585.0,0.0,711.0,0.0,22177699.72668064,6115787.290337078,3.0,1.0
LTE,216.0,30.0,12000.0,104195.0,0.0,19.059226,47.508796,79159.0,373.0,1.0,1416502601.0,1429849718.0,0.0,972.0,0.0,22170410.838865217,6111576.969679015,3.0,1.0
LTE,216.0,30.0,12000.0,135939.0,0.0,19.088644,47.520522,55099.0,378.0,1.0,1416736401.0,1429699160.0,0.0,664.0,0.0,22173687.29662688,6110444.906457043,3.0,1.0
LTE,262.0,1.0,4504.0,28222465.0,0.0,10.675213,53.89668,60832.0,586.0,1.0,1419678470.0,1473595727.0,0.0,636.0,0.0,21236633.40777852,5471468.863222018,3.0,1.0
LTE,216.0,30.0,12001.0,124930.0,0.0,18.940911,47.489346,87139.0,31.0,1.0,1420562834.0,1429705828.0,0.0,687.0,0.0,22157233.39308132,6113454.41170115,3.0,1.0
LTE,262.0,1.0,22512.0,25969921.0,0.0,12.413806,48.954838,68687.0,315.0,1.0,1421652169.0,1487475044.0,0.0,1000.0,0.0,21430270.85863234,5970857.952686396,3.0,1.0
LTE,262.0,1.0,4504.0,31295745.0,0.0,10.734647,53.916694,86003.0,2110.0,1.0,1422103776.0,1473788789.0,0.0,834.0,0.0,21243252.92612125,5469383.03823329,3.0,1.0
LTE,262.0,1.0,4604.0,28213249.0,0.0,10.126941,53.522516,59552.0,423.0,1.0,1422633996.0,1473899758.0,0.0,979.0,0.0,21175569.091716893,5510363.617029686,3.0,1.0
LTE,262.0,1.0,4604.0,28172801.0,0.0,10.075767,53.522312,61914.0,74.0,1.0,1422633996.0,1596610164.0,0.0,986.0,0.0,21169869.53873929,5510384.771557769,3.0,1.0
LTE,216.0,30.0,12001.0,123907.0,0.0,19.101287,47.536788,64386.0,129.0,1.0,1422865521.0,1429276391.0,0.0,937.0,0.0,22175095.422790475,6108874.2980788415,3.0,1.0
LTE,216.0,30.0,12001.0,125955.0,0.0,19.08555,47.524595,62625.0,45.0,1.0,1422865521.0,1429397585.0,0.0,672.0,0.0,22173342.69943079,6110051.652912561,3.0,1.0
LTE,216.0,30.0,12000.0,126467.0,0.0,19.08626,47.512048,106524.0,724.0,1.0,1422865521.0,1526206514.0,0.0,726.0,0.0,22173421.77635685,6111263.026358856,3.0,1.0
LTE,216.0,30.0,12000.0,75779.0,0.0,19.084194,47.508643,106545.0,1480.0,1.0,1422865521.0,1525583678.0,0.0,677.0,0.0,22173191.67363961,6111591.739800679,3.0,1.0
LTE,216.0,30.0,12001.0,109057.0,0.0,19.117499,47.600526,118227.0,74.0,1.0,1422865521.0,1429606928.0,0.0,732.0,0.0,22176901.04972745,6102717.209751107,3.0,1.0
LTE,238.0,6.0,40601.0,206599.0,0.0,12.35468,55.694907,61448.0,306.0,1.0,1422961539.0,1488723483.0,0.0,898.0,0.0,21423685.644082885,5281827.116365002,3.0,1.0
LTE,238.0,6.0,40601.0,206600.0,0.0,12.336159,55.685352,60151.0,330.0,1.0,1422961549.0,1488723483.0,0.0,846.0,0.0,21421622.85007229,5282847.023353605,3.0,1.0
LTE,238.0,6.0,40601.0,96519.0,0.0,12.315906,55.670811,58664.0,560.0,1.0,1422961549.0,1488723483.0,0.0,500.0,0.0,21419367.152912494,5284398.882283539,3.0,1.0
LTE,262.0,1.0,16507.0,28632066.0,0.0,12.084682,51.819222,100788.0,19.0,1.0,1423561551.0,1492349417.0,0.0,973.0,0.0,21393614.35974225,5685091.333333164,3.0,1.0
LTE,262.0,1.0,21010.0,26512896.0,0.0,11.617859,48.202079,131929.0,483.0,1.0,1424066539.0,1580113538.0,0.0,503.0,0.0,21341621.503610928,6044394.145817103,3.0,1.0
LTE,262.0,1.0,22503.0,31134210.0,0.0,12.160913,49.809937,55660.0,2088.0,1.0,1424970159.0,1487258623.0,0.0,743.0,0.0,21402104.659954,5886556.155614903,3.0,1.0
LTE,226.0,1.0,23220.0,233106179.0,0.0,26.149918,44.542278,349652.0,129.0,1.0,1425576395.0,1492175810.0,0.0,510.0,0.0,22960143.41208368,6393496.630508754,3.0,1.0
LTE,262.0,1.0,16545.0,31559936.0,0.0,12.39123,51.218833,81270.0,1071.0,1.0,1426535824.0,1648799981.0,0.0,859.0,0.0,21427756.4351356,5745801.729045123,3.0,1.0
LTE,216.0,30.0,12000.0,130818.0,0.0,19.081785,47.501467,140727.0,2000.0,1.0,1426931741.0,1646559842.0,0.0,850.0,0.0,22172923.36897077,6112284.459770637,3.0,1.0
LTE,216.0,30.0,12003.0,116225.0,0.0,19.020908,47.466461,105556.0,956.0,1.0,1426946965.0,1660212981.0,0.0,675.0,0.0,22166143.135129027,6115662.912679054,3.0,1.0
LTE,216.0,30.0,65534.0,205571.0,0.0,21.64352,47.549591,60778.0,32.0,1.0,1426956314.0,1436932748.0,0.0,830.0,0.0,22458239.04386595,6107637.87296732,3.0,1.0
